1,isbn,author,tag_author,name,publisher,city,type_of_printing,printing,publ_date,year_of_w,language,type,cover,read,series,condition,inscription,format,pages,from
883,5-88872-143-5,Джеймс Хэдли Чейз,Чейз,Собрание сочинений. Том 22.,Эридан,Минск,Дополнительный,50000,1994,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,normal - old,,84*108(1/32),384,была
884,5-85872-154-0,Джеймс Хэдли Чейз,Чейз,Собрание сочинений. Том 25.,Эридан,Минск,Основной,100000,1994,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,normal - old,,84*108(1/32),432,была
885,5-699-18110-5,Дик Френсис,Френсис,Испытай себя,Эксмо,Москва,Основной,5000,2007,1990,русский,роман,мягкая,FALSE,Весь Фрэнсис,normal - new,,70*100(1/32),384,Фазенда
886,978-5-17-011843-4,Борис Акунин,Акунин,Пелагия и чёрный монах,АСТ,Москва,Дополнительный,20000,2009,2000,русский,роман,мягкая,FALSE,,medium - new,,70*90(1/32),461,была
887,978-5-9524-3815-6,Питер Джеймс,П.Джеймс,Убийственно просто,Центрполиграф,Москва,Дополнительный,10000,2008,2004,русский,роман,мягкая,FALSE,,medium - new,,70*100(1/32),415,Книжные магазины
888,978-5-17-046135-6,Томас Харрис,Харрис,Черное воскресенье,АСТ,Москва,Основной,5000,2007,1975,русский,роман,мягкая,FALSE,The International Bestseller,medium - new,,70*90(1/32),414,Книжные магазины
889,,Ф.Ф.Нагибин. Е.С.Канин,,Математическая шкатулка,Просвещение,Москва,Основной,760000,1984,,русский,учебное пособие,твёрдая,FALSE,,worn - old,,60*90(1/16),160,была
890,,Э.Хэмингуэй,Хэмингуэй,Старик и море,Судостроение,Ленинград,Основной,800000,1980,1951,русский,повесть,мягкая,FALSE,,medium - old,,84*108(1/32),64,была
891,978-5-17-042839-7,Борис Акунин,Акунин,Шпионский роман,АСТ,Москва,Основной,70000,2007,2005,русский,роман,мягкая,TRUE,,medium - new,,70*90(1/32),377,была
892,978-5-373-00764-1,Борис Акунин,Акунин,Алтын-толобас,ОЛМА Медиа Групп,Москва,Дополнительный,6000,2007,2001,русский,роман,мягкая,TRUE,,medium - new,,70*90(1/32),383,была
893,5-7183-0040-2,Агата Кристи. Джон Карр,,Два романа об отравителях,"Библиотека ""Звезды""",Санкт-Петербург,Основной,100000,1992,,русский,сборник романов,твёрдая,TRUE,,normal - old,,84*108(1/32),352,была
894,5-222-01351-0,А.В.Коробейник,,Футбол. Самоучитель игры.,Феникс,Ростов-на-Дону,Основной,10000,2000,,русский,самоучитель,твёрдая,TRUE,,bad - old,,84*108(1/32),320,была
895,5-8189-0130-0,Александр Ткаченко,,Футболь,Geleos,Москва,Основной,5000,2001,2001,русский,автобиография,твёрдая,FALSE,,normal - new,,84*108(1/32),351,ДК Крупской
896,978-5-373-00696-5,Борис Акунин,Акунин,ФМ. Том 1.,ОЛМА Медиа Групп,Москва,Дополнительный,7000,2007,2006,русский,роман,мягкая,FALSE,,good - new,,70*90(1/32),350,была
897,978-5-373-00697-2,Борис Акунин,Акунин,ФМ. Том 2.,ОЛМА Медиа Групп,Москва,Дополнительный,7000,2007,2006,русский,роман,мягкая,FALSE,,good - new,,70*90(1/32),286,была
898,,Виктор Астафьев,Астафьев,Звездопад,Современник,Москва,Основной,1200000,1984,1960,русский,повесть,мягкая,FALSE,,worn - old,,84*108(1/32),80,была
899,5-17-028130-7,Сост.:Р.Трахтенберг,Трахтенберг,Тонна анекдотов от Трахтенберга. Философские,Астрель-СПБ,Санкт-Петербург,Основной,10000,2005,,русский,публицистика,твёрдая,TRUE,Анекдоты от Романа Трахтенберга,medium - new,,84*108(1/32),285,Книжные магазины
900,978-5-86471-807-0,Ричард Руссо,Руссо,Эмпайр Фоллз,phantom press,Москва,Основной,2500,2020,2001,русский,роман,твёрдая,TRUE,,good - new,,60*90(1/16),608,Буквоед
901,978-5-91181-796-1,Франц Кафка,Кафка,Письма к Милене,Азбука-классика,Санкт-Петербург,Основной,7000,2008,,русский,письма,мягкая,FALSE,Азбука-классика,medium - new,,76*100(1/32),256,Старая книга
902,5-352-00054-0,Патрик Зюскинд,Зюскинд,Парфюмер. История одного убийцы.,Азбука-классика,Санкт-Петербург,Основной,20000,2005,1985,русский,роман,мягкая,FALSE,Азбука-классика,medium - new,,76*100(1/32),304,Старая книга
903,5-08-001797-Х,Ред.: Г.И.Гусева,,Лесные хоромы,Детская литература,Москва,Основной,3000000,1990,,русский,сборник,мягкая,TRUE,,worn - old,,70*100(1/16),32,была
904,5-08-002038-5,М.Пришвин,Пришвин,Вася Весёлкин,Детская литература,Москва,Основной,1000000,1990,,русский,сборник рассказов,мягкая,FALSE,,medium - old,,70*100(1/16),32,была
905,,Сергей Есенин,Есенин,За рекой горят огни,Советская Россия,Москва,Основной,300000,1979,,русский,поэзия,мягкая,TRUE,,worn - old,,70*100(1/16),48,была
906,,И.С.Тургенев,Тургенев,Бежин луг,Детская литература,Ленинград,Дополнительный,600000,1979,,русский,рассказ,мягкая,FALSE,,worn - old,,70*100(1/16),32,была
907,,А.Куприн,Куприн,Белый пудель,мастацкая лiтература,Минск,Основной,350000,1977,,русский,рассказ,мягкая,FALSE,,medium - old,,70*90(1/16),40,была
908,,К.Ушинский,Ушинский,Слепая лошадь,Малыш,Москва,Основной,1450000,1976,,русский,рассказ,мягкая,TRUE,,medium - old,,70*90(1/16),20,была
909,5-85569-048-02,Г.Н.Ищук. В.А.Рыкованов,,Краеведческие очерки о Калининском районе Санкт-Петербурга,Терция,Санкт-Петербург,Основной,3000,2000,,русский,публицистика,мягкая,TRUE,,medium - old,,84*108(1/32),256,школа
910,978-5-98697-237-4,Тесс Герритсен,Герритсен,Хранитель смерти,"Книжный клуб 36,6",Москва,Основной,10000,2011,2008,русский,роман,мягкая,FALSE,,medium - new,,70*100(1/32),416,Буквоед
911,978-5-98697-308-1,Тесс Герритсен,Герритсен,Гробовое молчание,"Книжный клуб 36,6",Москва,Основной,10000,2014,2011,русский,роман,мягкая,FALSE,,medium - new,,70*100(1/32),448,Буквоед
912,5-17-029628-2,Стивен Лизер,Лизер,Танго один,АСТ,Москва,Основной,5000,2005,2002,русский,роман,твёрдая,FALSE,Bestseller,medium - new,,84*108(1/32),414,Старая книга
913,5-289-01431-4,Джеймс Хэдли Чейз,Чейз,Перстень Борджа,Лениздат,Санкт-Петербург,Основной,100000,1992,,русский,повесть,мягкая,TRUE,,medium - old,,84*108(1/32),94,была
914,5-05-004176-7,Дениза Робинс,Робинс,Больше чем любовь,Радуга,Москва,Основной,50000,1993,1947,русский,роман,мягкая,FALSE,Такая разная любовь...,bad - old,,84*108(1/32),288,была
